Soil_Type,Temperature_C,Rainfall_mm,Humidity_pct,Nitrogen_kg_ha,Phosphorus_kg_ha,Potassium_kg_ha,pH,Crop_History,Recommended_Crop
Loamy,24.7,42.5,63.5,86.1,86.3,47.9,6.09,Rice,Tomato
Silty,20.4,58.2,63.1,36.4,23.6,23.2,7.9,Mango,Lentil
Laterite,38.3,142.8,78.6,66.5,42.2,47.8,6.48,Rice,Mango
Silty,23.5,75.4,42.7,31.5,43.1,20.9,6.89,Cotton,Lentil
Silty,25.8,48.0,41.5,29.6,42.3,36.4,6.13,Sugarcane,Lentil
Sandy Loam,20.5,97.4,60.1,94.5,46.1,26.2,7.32,Mango,Wheat
Clay,23.2,101.4,69.1,29.9,43.0,47.8,6.75,Rice,Soybean
Loamy,26.6,75.4,58.5,80.8,42.9,21.2,7.005,Potato,Cotton
Loamy,21.4,113.6,72.9,18.6,33.1,20.6,6.91,Mustard,Soybean
Sandy Loam,18.0,108.8,44.4,129.2,72.4,18.7,7.24,Maize,Wheat
Loamy,25.5,57.8,48.6,35.9,43.2,33.5,7.23,Sugarcane,Lentil
Laterite,33.5,100.5,56.5,53.8,19.8,60.5,6.49,Groundnut,Mango
Silty,17.5,81.2,63.8,83.3,67.8,51.7,6.31,Cotton,Potato
Loamy,35.7,117.3,62.1,60.3,40.9,31.3,5.58,Soybean,Mango
Black,23.5,140.2,64.7,63.3,48.1,32.6,6.96,Tomato,Cotton
Silty,26.2,184.5,89.5,86.0,43.4,51.6,6.46,Maize,Rice
Loamy,28.7,150.0,67.3,81.6,26.5,20.0,6.55,Potato,Cotton
Clay,31.9,173.1,93.4,73.9,51.45,44.4,6.91,Tomato,Rice
Loamy,25.8,77.5,54.5,73.2,44.2,16.1,7.19,Mustard,Cotton
Sandy Loam,16.7,85.6,41.1,81.3,48.7,47.2,6.28,Lentil,Wheat
Clay,35.2,215.4,75.7,150.2,71.7,58.6,6.43,Potato,Sugarcane
Loamy,16.1,62.3,56.5,67.2,41.2,27.0,6.43,Mango,Mustard
Silty,26.8,141.1,86.3,124.4,51.4,69.4,7.37,Rice,Sugarcane
Sandy Loam,25.3,48.9,43.8,29.4,57.2,37.4,6.8,Maize,Lentil
Sandy Loam,31.2,72.2,74.5,27.3,43.9,26.0,6.51,Sugarcane,Groundnut
Silty,27.6,209.7,75.8,89.0,55.0,58.9,6.63,Wheat,Sugarcane
Sandy Loam,18.7,96.4,59.8,41.6,45.1,29.6,7.27,Potato,Lentil
Loamy,32.7,149.1,53.7,84.4,36.6,19.6,6.73,Tomato,Cotton
Laterite,23.0,107.4,53.3,38.9,25.0,43.6,6.34,Sugarcane,Mango
Loamy,29.9,61.0,76.2,78.3,53.5,44.0,6.2,Mustard,Maize
Sandy Loam,21.5,45.4,65.9,85.15,78.8,56.8,6.7,Cotton,Tomato
Loamy,24.3,181.9,52.0,101.0,58.3,30.6,6.41,Tomato,Maize
Clay,24.1,73.8,46.4,39.6,25.7,24.5,7.3,Maize,Cotton
Loamy,21.5,72.4,71.1,81.4,42.7,43.1,5.55,Groundnut,Maize
Loamy,17.1,57.2,53.5,29.4,31.7,24.8,7.59,Mango,Lentil
Sandy Loam,26.0,54.2,72.9,85.3,69.8,78.4,5.0,Groundnut,Potato
Clay,27.0,142.4,59.3,48.6,55.3,44.2,6.81,Tomato,Soybean
Silty,26.0,80.1,74.0,64.0,67.8,62.9,6.12,Sugarcane,Tomato
Clay,18.2,72.2,63.9,128.3,45.7,51.7,7.1,Rice,Wheat
Clay,17.6,54.0,56.4,55.6,49.5,32.6,6.53,Tomato,Mustard
Loamy,22.4,68.2,59.7,64.7,64.9,50.4,6.32,Lentil,Potato
Clay,25.3,77.9,68.7,38.8,60.3,37.3,6.62,Wheat,Soybean
Loamy,23.8,233.7,93.5,98.5,57.6,56.1,5.23,Potato,Rice
Loamy,36.1,111.7,62.0,119.7,42.0,50.0,6.06,Lentil,Sugarcane
Loamy,24.1,59.5,55.2,28.3,52.6,47.6,6.37,Mustard,Groundnut
Sandy Loam,31.6,141.2,67.1,96.2,55.8,46.3,5.69,Rice,Maize
Loamy,23.5,195.9,73.8,92.3,30.7,57.1,6.12,Groundnut,Rice
Silty,38.9,155.2,76.5,114.2,46.6,43.7,6.79,Cotton,Sugarcane
Sandy Loam,28.1,76.6,67.4,130.7,50.2,42.8,7.51,Lentil,Maize
Loamy,25.0,82.7,59.9,106.6,52.7,36.7,6.06,Cotton,Tomato
Sandy Loam,15.7,50.0,58.6,17.2,34.1,28.7,6.17,Mustard,Lentil
Clay,13.5,34.0,39.4,66.0,29.1,32.3,7.26,Sugarcane,Mustard
Clay,33.3,231.6,67.2,99.8,66.0,50.8,7.19,Rice,Sugarcane
Loamy,20.1,87.5,56.2,89.4,75.8,55.5,5.66,Mustard,Tomato
Sandy Loam,35.7,162.4,63.8,47.5,39.2,56.2,5.6,Sugarcane,Mango
Sandy Loam,16.4,33.3,40.7,43.9,37.8,17.4,6.96,Potato,Mustard
Silty,27.0,54.9,42.0,34.4,32.9,15.0,7.03,Tomato,Lentil
Loamy,34.3,158.2,66.0,98.8,73.2,75.3,6.45,Cotton,Sugarcane
Loamy,21.4,48.1,66.2,106.9,73.1,70.2,6.48,Cotton,Tomato
Sandy Loam,23.3,75.5,79.4,87.9,54.1,28.8,7.09,Mustard,Maize
Sandy Loam,19.2,91.5,39.7,46.0,44.3,15.1,7.22,Soybean,Lentil
Sandy Loam,24.2,96.8,56.6,21.4,39.7,31.4,6.33,Mustard,Groundnut
Loamy,22.8,99.2,82.1,55.4,55.9,51.3,6.04,Rice,Potato
Sandy Loam,24.7,47.0,59.1,28.5,27.6,35.4,7.71,Soybean,Lentil
Loamy,31.7,65.0,64.6,23.9,30.4,36.1,7.43,Mango,Soybean
Laterite,26.9,115.3,55.2,45.1,37.4,61.5,6.35,Rice,Mango
Loamy,26.6,66.1,58.4,71.0,72.8,62.0,6.235,Rice,Tomato
Silty,24.1,137.8,53.8,97.3,53.2,51.0,6.89,Lentil,Maize
Black,29.8,160.4,48.5,83.6,37.5,31.8,6.8,Tomato,Cotton
Loamy,33.5,293.9,83.3,100.6,33.6,30.9,6.31,Groundnut,Rice
Loamy,23.8,67.0,67.3,52.7,88.0,54.0,6.37,Rice,Potato
Laterite,27.1,178.2,58.5,71.8,26.7,57.1,6.45,Lentil,Mango
Silty,18.6,95.0,66.7,89.1,61.8,54.9,5.74,Rice,Potato
Red,28.3,89.4,70.4,43.3,44.7,40.7,6.72,Lentil,Groundnut
Loamy,18.1,117.0,28.1,81.6,47.3,35.5,6.11,Rice,Wheat
Sandy Loam,30.5,89.7,57.7,46.0,41.0,65.0,6.46,Soybean,Mango
Sandy Loam,16.1,44.1,78.6,96.1,49.8,84.7,6.11,Rice,Potato
Loamy,33.2,138.5,69.2,67.6,42.8,31.6,7.27,Mustard,Maize
Sandy Loam,18.5,32.1,61.0,52.0,49.0,22.3,6.4,Wheat,Mustard
Loamy,16.9,64.3,63.7,96.6,83.3,73.1,5.61,Cotton,Potato
Loamy,23.9,73.4,75.0,64.0,45.5,47.8,7.39,Cotton,Soybean
Loamy,32.9,69.7,63.3,12.8,41.9,36.4,6.6,Tomato,Groundnut
Silty,23.3,293.5,86.2,81.2,69.3,28.3,5.57,Maize,Rice
Black,33.8,134.4,47.1,63.1,40.6,18.1,7.01,Lentil,Cotton
Sandy Loam,19.9,93.4,48.2,125.5,68.0,26.0,6.23,Rice,Wheat
Loamy,38.4,99.4,69.3,41.3,29.6,67.4,7.0,Mustard,Mango
Laterite,35.6,155.7,70.1,81.3,34.3,53.2,5.75,Groundnut,Mango
Sandy Loam,24.1,43.0,51.4,19.4,22.5,42.0,7.47,Tomato,Lentil
Clay,28.7,175.8,62.2,93.2,46.4,50.3,7.0,Maize,Sugarcane
Sandy Loam,27.1,69.7,63.0,31.2,43.1,31.9,6.38,Sugarcane,Groundnut
Silty,15.2,81.1,63.1,66.8,50.6,48.7,5.95,Sugarcane,Potato
Black,33.8,107.7,47.0,36.8,27.4,34.0,7.23,Rice,Cotton
Loamy,22.5,150.1,64.8,117.8,39.3,60.1,6.8,Mango,Sugarcane
Clay,35.9,188.1,81.9,109.9,41.0,60.7,6.53,Soybean,Rice
Silty,28.3,133.4,84.3,82.7,42.2,43.7,6.27,Mango,Sugarcane
Clay,33.2,162.6,89.0,83.1,62.5,39.2,6.05,Cotton,Sugarcane
Silty,22.5,95.0,73.7,71.3,66.5,65.3,6.54,Mustard,Tomato
Clay,22.1,92.8,38.3,96.0,69.8,27.2,6.37,Soybean,Wheat
Clay,26.0,219.3,78.7,112.3,55.1,44.0,6.93,Lentil,Rice
Loamy,18.3,82.0,65.75,114.6,67.1,53.5,6.62,Cotton,Tomato
Clay,32.05,79.4,40.1,50.5,42.3,38.2,6.98,Wheat,Cotton
Clay,25.2,125.4,75.4,54.0,47.7,25.7,6.98,Wheat,Soybean
Loamy,20.8,66.9,57.7,113.8,77.6,46.9,6.33,Maize,Tomato
Sandy Loam,20.7,123.6,74.3,34.3,61.1,34.7,6.8,Potato,Soybean
Loamy,22.3,104.1,65.1,34.3,40.1,32.3,6.18,Soybean,Groundnut
Loamy,25.2,147.5,62.9,56.4,34.3,69.5,6.06,Lentil,Mango
Clay,20.7,101.3,78.1,29.4,40.4,50.1,7.15,Rice,Soybean
Sandy Loam,23.8,117.5,76.0,43.1,33.6,69.0,6.49,Potato,Mango
Clay,37.2,138.2,53.6,44.4,41.9,15.1,7.83,Lentil,Cotton
Clay,24.1,87.0,55.8,91.3,55.3,22.6,6.27,Tomato,Wheat
Sandy Loam,32.3,87.8,63.5,20.5,34.3,33.7,6.37,Wheat,Groundnut
Sandy Loam,28.8,98.7,66.1,52.3,37.8,38.9,5.61,Wheat,Mango
Laterite,26.3,175.7,52.8,72.8,52.4,40.3,6.33,Lentil,Mango
Silty,31.3,258.6,86.9,98.4,47.7,46.5,5.3,Mustard,Rice
Loamy,40.8,103.0,46.8,46.1,33.1,33.5,7.65,Wheat,Cotton
Loamy,20.6,138.0,73.2,99.1,51.1,39.5,5.6,Mango,Maize
Sandy Loam,18.8,61.05,32.7,23.3,30.7,25.8,8.1,Cotton,Lentil
Loamy,12.5,104.0,72.4,94.8,69.0,72.5,4.82,Soybean,Potato
Clay,21.6,211.4,89.5,69.9,52.7,56.8,5.31,Potato,Rice
Loamy,31.9,63.9,50.8,31.8,40.0,41.5,6.01,Sugarcane,Groundnut
Loamy,25.7,48.5,32.4,80.6,44.7,22.2,7.48,Mango,Mustard
Loamy,19.5,49.7,69.8,104.8,53.9,67.3,6.09,Mango,Potato
Loamy,20.9,113.1,58.7,107.5,64.9,30.9,6.32,Groundnut,Wheat
Clay,20.4,130.4,63.9,44.0,56.0,37.4,6.01,Lentil,Soybean
Loamy,33.2,180.4,85.2,105.6,34.7,42.9,5.38,Lentil,Rice
Sandy Loam,24.5,78.2,59.4,64.0,72.6,65.0,5.87,Lentil,Tomato
Laterite,36.6,139.5,59.3,71.2,20.7,41.4,7.15,Mustard,Mango
Silty,18.8,97.0,58.1,27.4,29.5,37.5,7.07,Wheat,Lentil
Red,29.0,108.8,54.3,24.5,58.1,26.7,6.17,Wheat,Groundnut
Loamy,27.7,163.9,65.5,56.9,20.7,52.8,6.89,Sugarcane,Mango
Loamy,13.2,89.2,37.6,96.6,60.5,25.2,6.56,Potato,Wheat
Sandy Loam,29.4,95.9,55.8,51.6,43.6,33.6,6.36,Soybean,Mango
Loamy,18.6,63.8,53.3,84.5,47.5,25.8,7.17,Tomato,Mustard
Sandy Loam,37.2,154.1,53.1,65.0,44.3,69.4,5.58,Maize,Mango
Silty,31.7,206.7,59.7,136.4,45.2,41.1,7.34,Soybean,Sugarcane
Silty,31.4,83.3,77.3,69.1,74.7,45.7,6.36,Mustard,Tomato
Clay,31.3,99.4,42.5,90.1,24.7,40.5,7.31,Groundnut,Cotton
Loamy,26.3,118.5,67.4,42.4,41.8,50.6,6.97,Maize,Groundnut
Sandy Loam,10.6,68.8,42.0,80.7,67.9,43.7,6.73,Sugarcane,Wheat
Sandy Loam,23.8,78.1,80.3,58.7,62.7,29.6,7.3,Rice,Soybean
Laterite,33.5,143.4,60.2,43.1,23.5,38.1,6.52,Sugarcane,Mango
Loamy,28.4,211.2,79.2,94.1,59.7,59.7,5.5,Mango,Rice
Sandy Loam,17.8,79.0,47.0,114.2,66.9,22.5,6.29,Rice,Wheat
Silty,21.6,41.4,73.5,96.4,77.9,55.9,6.0,Wheat,Potato
Silty,32.9,274.2,80.7,77.6,31.5,45.9,6.78,Groundnut,Rice
Loamy,23.1,119.0,69.2,97.3,61.8,76.0,4.94,Tomato,Potato
Clay,33.0,59.7,47.9,86.2,39.7,15.9,6.24,Potato,Cotton
Clay,39.1,62.8,55.6,77.3,45.4,38.0,7.58,Maize,Cotton
Sandy Loam,20.6,35.0,68.1,85.4,48.8,45.3,6.28,Mustard,Potato
Clay,22.3,40.8,49.4,81.1,29.5,33.2,6.75,Cotton,Mustard
Red,32.6,72.3,71.9,29.55,46.9,53.5,6.02,Lentil,Groundnut
Sandy Loam,22.6,62.6,50.8,23.6,58.8,44.2,6.71,Cotton,Groundnut
Sandy Loam,24.35,56.9,55.1,110.9,56.9,49.6,6.88,Wheat,Tomato
Clay,29.1,203.6,62.4,111.9,70.7,57.3,6.06,Mango,Sugarcane
Sandy Loam,21.4,85.3,61.5,61.9,77.6,73.7,6.42,Mango,Potato
Sandy Loam,25.0,76.9,72.8,90.9,63.4,48.5,6.13,Soybean,Tomato
Loamy,32.8,232.8,95.9,102.8,62.8,44.5,6.74,Mustard,Rice
Loamy,26.7,105.9,76.0,98.2,40.0,69.1,6.48,Rice,Sugarcane
Clay,22.7,56.3,29.0,44.2,24.1,28.4,7.0,Lentil,Mustard
Clay,37.4,109.4,78.4,144.3,50.1,67.1,6.22,Groundnut,Sugarcane
Clay,16.1,92.6,53.7,108.45,60.8,49.9,7.33,Tomato,Wheat
Clay,20.5,95.3,44.4,129.5,82.2,35.0,6.56,Maize,Wheat
Clay,31.1,59.3,55.7,31.6,53.8,36.0,6.38,Maize,Soybean
Silty,26.5,88.4,70.4,125.0,46.0,36.8,6.44,Mustard,Maize
Silty,19.05,61.1,62.5,58.0,87.4,47.8,4.75,Maize,Potato
Clay,27.6,136.7,57.6,90.9,73.3,61.7,6.83,Soybean,Sugarcane
Clay,23.9,82.9,51.5,94.9,68.1,42.8,6.18,Sugarcane,Wheat
Clay,14.7,88.6,61.4,128.7,53.0,33.1,6.1,Cotton,Wheat
Sandy Loam,15.2,110.1,60.4,89.3,53.8,73.2,5.55,Mango,Potato
Silty,29.1,137.6,95.4,115.4,58.6,57.9,6.08,Potato,Rice
Clay,35.3,265.5,77.7,114.8,51.5,47.5,6.5,Maize,Sugarcane
Red,27.3,114.2,72.4,34.5,50.9,36.0,6.11,Tomato,Groundnut
Loamy,36.3,281.7,77.4,74.0,58.0,46.5,5.93,Tomato,Rice
Red,32.1,125.1,57.4,22.1,58.2,22.8,6.38,Lentil,Groundnut
Silty,26.7,150.2,87.2,146.5,71.5,36.4,7.15,Wheat,Sugarcane
Silty,23.9,100.8,65.6,74.6,64.8,40.8,5.67,Wheat,Tomato
Clay,9.8,89.7,35.9,134.8,67.2,26.2,5.96,Cotton,Wheat
Sandy Loam,25.2,111.0,59.4,108.8,53.9,46.7,7.37,Groundnut,Wheat
Loamy,31.2,165.6,63.8,48.6,43.5,60.4,6.58,Groundnut,Mango
Sandy Loam,15.9,109.6,67.7,110.8,56.0,47.6,7.17,Wheat,Maize
Clay,30.6,65.3,60.7,45.9,63.0,41.7,6.97,Potato,Soybean
Clay,12.4,63.0,43.4,124.9,45.3,46.2,6.79,Cotton,Wheat
Sandy Loam,24.5,125.1,68.5,27.9,37.8,28.1,5.78,Tomato,Groundnut
Clay,19.5,55.2,34.6,62.4,37.6,25.0,7.31,Maize,Mustard
Silty,30.8,62.0,52.4,132.7,59.9,33.4,5.86,Tomato,Maize
Laterite,36.3,137.0,73.6,62.6,41.1,63.9,5.66,Tomato,Mango
Clay,26.3,86.3,45.1,48.7,43.0,16.2,7.66,Soybean,Cotton
Red,30.9,71.7,72.1,29.5,35.2,29.9,6.39,Rice,Groundnut
Silty,19.8,103.3,66.4,91.8,57.3,43.2,6.35,Soybean,Potato
Sandy Loam,23.5,56.0,55.1,83.1,59.8,71.3,5.81,Mango,Tomato
Clay,21.0,154.7,82.5,67.8,64.1,46.2,6.55,Soybean,Rice
Clay,23.2,103.9,57.3,49.4,44.6,22.1,6.65,Potato,Soybean
Silty,27.0,34.0,49.7,86.3,74.9,72.1,6.64,Rice,Tomato
Clay,22.8,53.2,77.4,57.2,31.9,25.5,7.13,Tomato,Soybean
Sandy Loam,32.8,173.4,64.8,58.6,31.9,48.9,5.56,Tomato,Mango
Black,37.6,85.8,67.1,47.5,40.3,30.8,6.97,Potato,Cotton
Clay,10.4,103.1,64.5,128.8,68.6,48.7,6.7,Mustard,Wheat
Loamy,27.7,109.6,57.5,17.8,44.7,26.5,6.76,Lentil,Groundnut
Silty,18.5,106.9,58.8,82.2,40.2,47.2,7.57,Soybean,Maize
Sandy Loam,36.1,98.1,69.2,37.9,43.3,21.6,6.7,Mustard,Groundnut
Loamy,28.9,83.1,55.8,23.8,38.3,30.0,6.98,Potato,Groundnut
Sandy Loam,15.7,70.8,63.5,140.9,69.0,20.8,7.57,Cotton,Wheat
Loamy,38.0,139.0,50.2,84.9,49.0,33.3,5.95,Sugarcane,Cotton
Silty,26.2,81.7,76.1,96.4,63.7,61.3,6.74,Sugarcane,Tomato
Black,38.5,129.0,53.7,85.5,47.1,24.2,6.72,Groundnut,Cotton
Loamy,17.1,62.8,53.6,29.6,30.9,19.0,6.88,Soybean,Lentil
Silty,30.2,92.0,64.9,96.1,47.1,36.9,6.41,Sugarcane,Maize
Silty,25.1,69.8,57.1,84.2,79.3,53.7,5.5,Wheat,Tomato
Loamy,35.6,111.2,59.9,56.5,21.3,67.7,5.75,Sugarcane,Mango
Sandy Loam,35.8,193.8,62.2,71.4,18.9,44.0,6.05,Lentil,Mango
Silty,34.2,192.9,83.7,78.1,33.8,41.3,4.93,Sugarcane,Rice
Silty,19.7,48.2,71.2,82.5,75.5,55.6,6.48,Rice,Potato
Sandy Loam,15.6,65.9,82.3,83.0,70.1,79.9,5.62,Cotton,Potato
Sandy Loam,30.2,132.8,50.6,50.9,21.8,40.2,7.1,Groundnut,Mango
Silty,21.1,88.7,48.3,12.8,31.6,17.1,7.04,Mustard,Lentil
Loamy,34.8,120.3,49.3,67.7,24.2,47.5,6.54,Groundnut,Mango
Loamy,29.7,97.7,43.3,52.2,23.1,32.7,7.4,Potato,Cotton
Loamy,24.8,271.6,81.85,87.1,31.2,54.6,5.82,Soybean,Rice
Sandy Loam,27.7,120.3,55.8,34.4,59.8,47.9,6.54,Mango,Groundnut
Clay,33.3,98.0,59.1,76.9,28.3,41.6,7.005,Tomato,Cotton
Silty,18.2,152.5,69.2,85.4,41.0,39.5,6.63,Soybean,Maize
Silty,21.0,52.7,65.4,71.7,55.5,44.5,6.07,Sugarcane,Potato
Clay,21.4,183.7,72.1,83.7,58.9,34.8,5.9,Potato,Rice
Silty,19.3,57.7,78.4,68.3,70.2,51.5,5.46,Mango,Tomato
Silty,20.4,114.3,52.6,132.0,61.0,40.1,5.87,Cotton,Maize
Black,27.6,88.4,55.0,69.0,22.0,18.8,6.57,Groundnut,Cotton
Loamy,21.0,120.5,53.6,34.9,32.8,50.1,6.14,Tomato,Groundnut
Clay,22.2,71.2,70.0,40.5,38.6,36.4,6.84,Groundnut,Soybean
Clay,22.3,229.7,76.3,61.5,52.9,49.1,5.06,Sugarcane,Rice
Laterite,33.9,124.1,53.5,74.1,28.4,42.0,6.78,Lentil,Mango
Clay,17.7,77.2,56.9,73.4,34.7,30.0,7.06,Maize,Mustard
Loamy,23.3,79.5,72.8,104.1,61.0,66.8,6.14,Soybean,Tomato
Clay,26.0,201.2,80.1,53.3,48.9,54.2,6.17,Lentil,Rice
Sandy Loam,23.0,64.2,46.0,70.3,30.5,29.4,6.85,Tomato,Mustard
Silty,37.4,192.0,64.1,113.2,68.1,58.3,5.53,Mustard,Sugarcane
Silty,20.4,76.4,65.3,51.6,85.3,56.6,5.44,Lentil,Potato
Loamy,20.5,67.9,62.0,82.0,64.9,38.3,6.09,Lentil,Maize
Sandy Loam,12.4,56.9,46.9,50.8,31.9,22.8,6.51,Sugarcane,Mustard
Loamy,33.3,118.5,71.9,120.9,45.4,43.6,5.97,Lentil,Maize
Loamy,33.1,266.2,94.6,95.2,59.5,46.5,5.36,Wheat,Rice
Loamy,25.1,115.9,56.5,48.1,31.5,57.1,6.16,Lentil,Mango
Clay,10.8,109.3,47.3,87.6,60.0,36.0,7.46,Maize,Wheat
Sandy Loam,31.5,173.1,64.0,92.3,34.1,40.7,6.35,Sugarcane,Maize
Sandy Loam,26.3,180.5,62.0,121.7,40.1,41.4,6.1,Lentil,Maize
Loamy,26.4,56.3,55.3,83.6,75.1,42.0,6.52,Soybean,Tomato
Silty,24.0,55.5,55.2,78.9,79.7,61.0,5.56,Rice,Tomato
Black,37.6,51.4,43.1,77.7,30.8,30.1,6.6,Wheat,Cotton
Clay,26.2,78.9,39.5,104.8,73.1,46.5,6.43,Soybean,Wheat
Sandy Loam,17.4,93.6,34.1,102.3,80.1,47.4,7.11,Tomato,Wheat
Silty,37.0,109.0,90.1,83.4,66.1,58.6,6.72,Cotton,Sugarcane
Silty,14.7,36.8,63.3,34.5,51.5,15.0,7.19,Cotton,Lentil
Loamy,21.7,92.8,50.9,21.1,43.2,26.4,6.68,Maize,Lentil
Sandy Loam,21.7,47.3,48.6,76.4,21.2,31.9,7.08,Mango,Mustard
Loamy,20.7,34.6,53.2,40.2,32.9,26.1,6.61,Soybean,Lentil
Loamy,28.4,116.8,51.8,21.5,46.8,43.1,6.97,Cotton,Groundnut
Sandy Loam,11.9,109.9,75.5,65.2,62.6,42.1,5.26,Mustard,Potato
Loamy,13.1,41.2,42.8,43.3,49.0,16.6,6.89,Rice,Mustard
Sandy Loam,33.7,92.9,77.3,62.9,49.3,34.7,7.05,Tomato,Mango
Loamy,16.5,55.3,69.9,60.1,68.8,44.2,4.84,Tomato,Potato
Loamy,19.9,36.9,33.8,26.3,21.8,27.4,6.35,Rice,Lentil
Silty,28.8,257.0,76.6,98.5,54.9,39.6,5.32,Maize,Rice
Clay,32.8,84.6,40.2,75.3,47.2,15.5,6.46,Rice,Cotton
Laterite,27.4,179.2,76.7,60.7,48.8,49.2,7.31,Soybean,Mango
Silty,32.9,247.1,82.3,79.5,42.2,32.4,5.98,Tomato,Rice
Sandy Loam,24.4,115.3,67.5,15.8,41.7,23.3,6.36,Mango,Groundnut
Sandy Loam,21.8,101.6,60.7,84.1,87.1,63.0,5.69,Lentil,Potato
Loamy,29.0,76.3,59.5,95.9,74.0,43.5,5.75,Lentil,Tomato
Sandy Loam,26.7,158.3,51.9,45.9,25.9,41.8,5.84,Maize,Mango
Loamy,21.1,184.3,96.7,57.1,48.9,56.8,5.38,Lentil,Rice
Loamy,11.4,44.3,44.3,50.1,24.5,31.8,6.52,Soybean,Mustard
Clay,24.3,80.0,47.9,106.7,42.7,53.3,7.43,Sugarcane,Wheat
Clay,22.6,187.9,82.5,80.1,58.8,46.8,6.7,Wheat,Rice
Red,31.2,111.1,69.0,23.8,44.3,40.7,5.9,Sugarcane,Groundnut
Sandy Loam,21.5,93.8,56.0,95.7,45.0,50.6,6.46,Sugarcane,Maize
Red,31.3,94.8,61.2,29.9,47.6,42.2,6.58,Wheat,Groundnut
Sandy Loam,26.9,157.4,53.4,71.8,46.4,55.7,6.41,Sugarcane,Maize
Sandy Loam,19.2,81.2,60.6,90.8,57.4,44.7,5.24,Soybean,Potato
Loamy,27.2,165.0,73.6,131.3,60.1,67.4,6.47,Lentil,Sugarcane
Silty,22.0,73.6,78.4,94.3,57.0,41.9,6.48,Rice,Maize
Loamy,25.2,293.0,69.5,71.5,62.4,37.4,6.79,Tomato,Rice
Loamy,20.9,81.2,44.0,54.3,37.0,34.4,7.12,Soybean,Mustard
Clay,25.3,56.5,55.6,62.9,53.4,38.1,6.84,Lentil,Soybean
Silty,26.6,97.3,43.0,39.4,27.5,29.8,7.26,Tomato,Lentil
Black,35.9,101.7,52.5,51.7,38.0,41.7,7.005,Mango,Cotton
Clay,38.1,150.8,41.5,79.5,29.1,45.1,6.88,Mango,Cotton
Clay,16.0,81.3,37.0,61.3,45.1,31.7,6.12,Mango,Mustard
Loamy,19.3,60.1,59.6,89.4,56.6,62.5,5.53,Lentil,Tomato
Silty,26.5,161.0,73.8,94.6,32.6,38.9,5.78,Wheat,Maize
Sandy Loam,28.4,115.9,72.8,37.1,55.7,44.2,6.32,Mustard,Groundnut
Sandy Loam,24.35,63.4,56.5,80.4,57.1,57.9,6.22,Wheat,Tomato
Clay,18.7,42.8,50.4,51.1,41.4,22.9,6.12,Potato,Mustard
Loamy,28.1,183.0,68.5,53.7,27.6,48.4,7.39,Potato,Mango
Loamy,23.2,104.9,73.2,73.6,66.6,70.9,4.89,Cotton,Potato
Loamy,19.3,120.1,73.3,101.4,50.6,47.4,5.54,Mustard,Maize
Red,34.7,109.2,64.1,37.7,41.9,34.1,6.44,Mango,Groundnut
Loamy,20.1,94.4,64.4,54.3,64.3,48.6,6.05,Tomato,Potato
Loamy,29.8,113.6,67.0,27.7,53.9,25.7,6.39,Mustard,Groundnut
Silty,27.6,74.2,71.5,105.1,49.0,46.8,6.07,Maize,Tomato
Silty,31.8,232.8,84.9,112.6,50.1,48.7,5.91,Wheat,Rice
Sandy Loam,29.1,74.4,56.1,67.3,59.9,67.7,6.64,Potato,Tomato
Sandy Loam,31.2,202.0,68.5,49.3,23.5,52.0,7.17,Soybean,Mango
Clay,29.9,111.5,63.4,85.0,22.3,35.6,6.45,Maize,Cotton
Sandy Loam,38.4,126.2,51.2,83.9,47.4,58.3,6.27,Potato,Mango
Loamy,29.8,72.6,71.3,45.7,50.1,43.9,7.0,Sugarcane,Groundnut
Sandy Loam,27.5,123.5,59.8,12.8,41.6,33.2,6.07,Mango,Groundnut
Clay,28.3,290.9,94.8,97.3,55.3,43.3,6.9,Maize,Rice
Loamy,24.35,93.7,77.1,108.6,86.3,53.6,5.79,Wheat,Tomato
Clay,22.1,299.7,81.8,61.0,68.6,40.4,4.95,Soybean,Rice
Sandy Loam,28.8,92.3,71.8,34.5,56.3,36.2,7.24,Maize,Soybean
Silty,26.8,154.0,66.9,103.5,65.4,76.7,6.34,Rice,Sugarcane
Clay,36.9,102.6,41.0,77.9,39.0,32.8,7.04,Mango,Cotton
Silty,23.4,38.1,77.6,77.1,76.5,44.1,6.21,Soybean,Tomato
Sandy Loam,28.4,100.9,63.2,34.2,51.2,49.8,6.03,Sugarcane,Groundnut
Clay,24.8,215.3,80.1,67.6,50.5,33.4,6.74,Maize,Rice
Silty,10.6,49.4,63.4,94.1,59.2,49.4,4.92,Maize,Potato
Red,31.2,87.2,65.5,19.2,41.6,17.6,6.5,Cotton,Groundnut
Sandy Loam,25.4,61.05,58.6,26.4,35.0,21.4,7.33,Soybean,Lentil
Silty,28.7,169.1,67.2,132.8,41.5,39.1,6.39,Soybean,Maize
Clay,15.9,37.0,32.1,61.8,33.5,25.0,6.3,Cotton,Mustard
Loamy,34.6,88.8,54.5,52.5,22.2,23.3,6.69,Sugarcane,Cotton
Loamy,22.4,114.8,72.5,55.3,40.9,33.0,6.73,Groundnut,Soybean
Loamy,15.5,107.2,86.3,83.6,88.4,60.9,6.24,Maize,Potato
Loamy,19.2,92.7,69.4,76.7,71.5,37.7,5.94,Lentil,Potato
